timestamp,token_mint,holder_count
2025-02-07T11:00:00Z,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,78160
2025-02-07T11:00:00Z,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,223304
2025-02-07T11:00:00Z,5SVG3T9CNQsm2kEwzbRq6hASqh1oGfjqTtLXYUibpump,30053
2025-02-07T11:00:00Z,5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp,49782
2025-02-07T11:00:00Z,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,76214
2025-02-07T11:00:00Z,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,78160
2025-02-07T11:00:00Z,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,43759
2025-02-07T11:00:00Z,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,125805
2025-02-07T11:00:00Z,7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL,32817
2025-02-07T11:00:00Z,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,70889
2025-02-07T11:00:00Z,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,109473
2025-02-07T11:00:00Z,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,73242
2025-02-07T11:00:00Z,C7heQqfNzdMbUFQwcHkL9FvdwsFsDRBnfwZDDyWYCLTZ,5219
2025-02-07T11:00:00Z,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,91347
2025-02-07T11:00:00Z,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,47445
2025-02-07T11:00:00Z,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,65552
2025-02-07T11:00:00Z,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,211974
2025-02-07T11:00:00Z,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,37384
2025-02-07T11:00:00Z,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,177064
2025-02-07T11:00:00Z,eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump,41755
2025-02-07T23:00:00Z,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,78165
2025-02-07T23:00:00Z,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,223510
2025-02-07T23:00:00Z,5SVG3T9CNQsm2kEwzbRq6hASqh1oGfjqTtLXYUibpump,30034
2025-02-07T23:00:00Z,5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp,49772
2025-02-07T23:00:00Z,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,76196
2025-02-07T23:00:00Z,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,78182
2025-02-07T23:00:00Z,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,43783
2025-02-07T23:00:00Z,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,126289
2025-02-07T23:00:00Z,7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL,32688
2025-02-07T23:00:00Z,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,70835
2025-02-07T23:00:00Z,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,109417
2025-02-07T23:00:00Z,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,73197
2025-02-07T23:00:00Z,C7heQqfNzdMbUFQwcHkL9FvdwsFsDRBnfwZDDyWYCLTZ,5068
2025-02-07T23:00:00Z,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,91317
2025-02-07T23:00:00Z,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,47435
2025-02-07T23:00:00Z,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,65547
2025-02-07T23:00:00Z,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,212018
2025-02-07T23:00:00Z,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,37305
2025-02-07T23:00:00Z,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,177042
2025-02-07T23:00:00Z,eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump,42033
2025-02-07T23:00:00Z,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,85956
2025-02-08T11:00:00Z,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,78216
2025-02-08T11:00:00Z,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,223511
2025-02-08T11:00:00Z,5SVG3T9CNQsm2kEwzbRq6hASqh1oGfjqTtLXYUibpump,30018
2025-02-08T11:00:00Z,5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp,49811
2025-02-08T11:00:00Z,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,76173
2025-02-08T11:00:00Z,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,78183
2025-02-08T11:00:00Z,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,43778
2025-02-08T11:00:00Z,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,127106
2025-02-08T11:00:00Z,7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL,32680
2025-02-08T11:00:00Z,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,70785
2025-02-08T11:00:00Z,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,109691
2025-02-08T11:00:00Z,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,73262
2025-02-08T11:00:00Z,C7heQqfNzdMbUFQwcHkL9FvdwsFsDRBnfwZDDyWYCLTZ,5066
2025-02-08T11:00:00Z,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,91311
2025-02-08T11:00:00Z,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,47454
2025-02-08T11:00:00Z,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,65557
2025-02-08T11:00:00Z,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,212317
2025-02-08T11:00:00Z,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,37255
2025-02-08T11:00:00Z,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,177041
2025-02-08T11:00:00Z,eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump,41931
2025-02-08T11:00:00Z,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,86013
